Artist,Track,Year,Chords
Perez Prado And His Orchestra,Patricia,1950,"['Am', 'Am', 'C', 'Dm', 'Em', 'Am', 'C', 'Dm', 'Em', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'C', 'Dm', 'Em', 'Am', 'C', 'Dm', 'Em', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'D', 'F', 'C', 'D', 'Em', 'G', 'C', 'D', 'Em', 'C', 'D', 'Em', 'D', 'C', 'D', 'Em', 'D', 'C', 'C', 'D', 'Em', 'D', 'C', 'D', 'Em', 'D', 'C', 'D']"
Bobby Darin,Splish Splash,1950,"['C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'C', 'F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'C', 'F', 'C', 'F', 'C', 'G7', 'F', 'C']"
Kalin Twins,When,1950,"['G', 'C', 'G', 'Em', 'G', 'G', 'D', 'C', 'C', 'G', 'C', 'G', 'Em', 'G', 'D', 'C', 'C', 'D', 'Em', 'G', 'F', 'D#', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'D', 'C', 'Em', 'G', 'C', 'G', 'D', 'C', 'C', 'Em', 'G', 'C', 'D', 'C', 'C', 'D', 'Em', 'G', 'F', 'D#', 'G', 'D#', 'F', 'Csus2', 'F', 'D#', 'F', 'Csus2', 'F', 'D#', 'F', 'Csus2', 'F', 'D#', 'F', 'G', 'D', 'C', 'D', 'C', 'Em', 'G', 'C', 'G', 'D', 'C', 'C', 'Em', 'G', 'C', 'G']"
The Coasters,Yakety Yak,1950,"['G', 'C', 'D7', 'G', 'G', 'G', 'C', 'D7', 'G', 'G', 'G', 'C', 'D7', 'G', 'G', 'G', 'C', 'D7', 'G', 'G', 'C', 'D7', 'G', 'G', 'G']"
Jack Scott,My True Love,1950,"['G', 'Em', 'C', 'D7', 'D7', 'G', 'Em', 'C', 'D7', 'D7', 'G', 'Em', 'C', 'D7', 'G', 'D7', 'G', 'G', 'Em', 'C', 'D7', 'D7', 'G', 'Em', 'C', 'D7', 'D7', 'G', 'Em', 'C', 'D7', 'D7', 'G', 'D7', 'G', 'G7', 'C', 'D7', 'G', 'Em', 'C', 'D7', 'D7', 'G', 'Em', 'C', 'D7', 'D7', 'G', 'Em', 'C', 'D7', 'D7', 'G', 'D7', 'G', 'C', 'C', 'G']"
Peggy Lee,Fever,1950,"['Am', 'C', 'E', 'Am', 'Am', 'C', 'Dm', 'Am', 'Am', 'C', 'E', 'Am', 'Am', 'C', 'Dm', 'Am', 'Am', 'C', 'E', 'Am', 'Am', 'C', 'Dm', 'Am', 'Am', 'C', 'E', 'Am', 'Am', 'C', 'Dm', 'Am', 'Am', 'C', 'E', 'Am', 'Am', 'C', 'Dm', 'Am', 'Am', 'C', 'E', 'Am', 'Bbm', 'Db', 'Ebm', 'Bbm', 'Bbm', 'Db', 'F', 'Bbm', 'Bbm', 'Db', 'Ebm', 'Bbm', 'Bbm', 'Db', 'F', 'Bbm', 'Bm', 'D', 'Em', 'Bm', 'Bm', 'D', 'F#', 'Bm', 'Bm', 'D', 'Em', 'Bm', 'Bm', 'D', 'F#', 'Bm', 'Bm', 'D', 'Em', 'Bm', 'Bm', 'D', 'F#', 'Bm', 'Bm', 'D', 'Em', 'Bm', 'Bm', 'D', 'F#', 'Bm', 'F#', 'Bm', 'F#', 'Bm', 'F#', 'Bm']"
Jimmy Clanton And His Rockets,Just A Dream,1950,"['Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'Am', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em']"
Pat Boone,If Dreams Came True,1950,"['A', 'E', 'A', 'E', 'G#m7', 'F#m7', 'A', 'E', 'A', 'E', 'A', 'E', 'G#m7', 'F#m7', 'A', 'E', 'A', 'E', 'A', 'E', 'G#m7', 'F#m7', 'A', 'E', 'E', 'Emaj7', 'F#m7', 'A', 'E', 'E', 'Emaj7', 'F#m7', 'A', 'E', 'E7', 'A', 'Am', 'E', 'E7', 'A', 'Am', 'F#7', 'Bm', 'F#m', 'C#m', 'G', 'E', 'E', 'Emaj7', 'F#m7', 'A', 'E', 'E', 'Emaj7', 'F#m7', 'A', 'E']"
The Crickets,Think It Over,1950,"['A', 'E', 'A', 'D', 'A', 'E', 'D', 'A', 'E', 'A', 'D', 'A', 'E', 'D', 'A', 'E', 'A', 'D', 'A', 'E', 'D', 'A', 'E', 'A', 'D', 'A', 'E', 'D', 'A', 'E', 'A', 'A', 'G', 'E', 'D', 'D', 'C']"
Jimmie Rodgers,Secretly,1950,"['B', 'Gmaj7', 'B', 'Gmaj7', 'E', 'Em', 'Gmaj7', 'B', 'Gmaj7', 'B', 'Gmaj7', 'E', 'Em', 'G#m', 'Ebmaj/G', 'B/F#', 'C#maj/F', 'B', 'Bbm', 'F#', 'E', 'B', 'Bbm', 'C#maj', 'E', 'G#m', 'Ebmaj/G', 'E', 'Bbm', 'F', 'F#', 'Bbm', 'F', 'F#', 'Bbm/Bb', 'Fmaj/A', 'C#/G#', 'Ebmaj/G', 'C#', 'Cm', 'G#', 'F#', 'C#', 'Cm', 'Ebmaj', 'F#', 'Bbm/Bb', 'Fmaj/A', 'F#', 'C#', 'A', 'C#', 'A', 'C#', 'A', 'C#', 'A']"
